prev_filename,new_filename,filename,page_height,page_width,page_height_scaled,page_width_scaled,AuthorID,Overlapped,category,id,x,y,width,height,x_scaled,y_scaled,w_scaled,h_scaled
aah97e00-page02_1.tif,aah97e00-page02_1.jpg,0.tif,3296,2560,618.0,480.0,NA,NA,DLLogo,None,1074,18,374,219,201,3,70,41
aah97e00-page02_2.tif,aah97e00-page02_2.jpg,1.tif,3296,2560,618.0,480.0,"Boder, J.B.",Yes,DLSignature,None,1409,793,659,361,264,148,123,67
aam09c00.tif,aam09c00.jpg,2.tif,2292,1728,636.6666666666667,480.0,"Koplow, M.G.",Yes,DLSignature,None,821,1422,757,183,228,395,210,50
aao54e00_2.tif,aao54e00_2.jpg,4.tif,3296,2560,618.0,480.0,"Landry, J.T.",Yes,DLSignature,None,1514,708,627,206,283,132,117,38
abm69c00.tif,abm69c00.jpg,5.tif,2292,1728,636.6666666666667,480.0,"Feldman, J.D.",Yes,DLSignature,None,667,1279,617,110,185,355,171,30
acr64d00.tif,acr64d00.jpg,6.tif,2292,1728,636.6666666666667,480.0,"Boffa, J.R.",Yes,DLSignature,None,886,1801,463,181,246,500,128,50
adh36e00-page2_1.tif,adh36e00-page2_1.jpg,7.tif,3245,2560,608.4375,480.0,NA,NA,DLLogo,None,1181,18,359,219,221,3,67,41
adh36e00-page2_2.tif,adh36e00-page2_2.jpg,8.tif,3246,2560,608.625,480.0,"Krivisky, B.M.",Yes,DLSignature,None,1232,2399,896,431,231,449,168,80
adh36e00_1.tif,adh36e00_1.jpg,9.tif,3245,2560,608.4375,480.0,NA,NA,DLLogo,None,1187,18,347,219,222,3,65,41
adh36e00_2.tif,adh36e00_2.jpg,10.tif,3246,2560,608.625,480.0,"Krivisky, B.M.",Yes,DLSignature,None,1239,2403,889,434,232,450,166,81
adn64a00-page02_3.tif,adn64a00-page02_3.jpg,13.tif,2156,1728,598.8888888888889,480.0,"Koplow, M.G.",Yes,DLSignature,None,871,478,636,152,241,132,176,42
adp7aa00.tif,adp7aa00.jpg,14.tif,3177,2544,599.433962264151,480.00000000000006,"Lisanti, V.F.",No,DLSignature,None,257,2127,549,165,48,401,103,31
adq65f00.tif,adq65f00.jpg,15.tif,1575,1200,630.0,480.0,"Traviesas, H.",Yes,DLSignature,None,632,810,126,76,252,324,50,30
aeb95e00.tif,aeb95e00.jpg,16.tif,3295,2560,617.8125,480.0,"Landry, J.T.",Yes,DLSignature,None,1064,3058,786,140,199,573,147,26
